"Customer","SUM(P_1)","SUM(P_3)","SUM(P_6)","SUM(P_9)","SUM(P_18)","SUM(P_19)","SUM(P_21)","SUM(P_31)","SUM(P_32)","SUM(P_34)","SUM(P_45)","SUM(P_46)","SUM(P_51)","SUM(P_54)","SUM(P_55)","SUM(P_57)","SUM(P_58)","SUM(P_61)","SUM(P_68)","SUM(P_69)","SUM(P_71)","SUM(P_72)","SUM(P_73)","SUM(P_77)","SUM(P_94)","SUM(P_106)","SUM(P_107)","SUM(P_111)","SUM(P_112)","SUM(P_114)","SUM(P_118)","SUM(P_120)","SUM(P_122)","SUM(P_127)","SUM(P_128)","SUM(P_133)","SUM(P_134)","SUM(P_135)","SUM(P_137)","SUM(P_145)","SUM(P_146)","SUM(P_150)","N"
3,11,35,1,25,18,6,2,0,3,0,0,0,0,4,5,0,1,0,29,1,1,0,4,1,0,0,1,0,7,13,1,2,6,1,2,2,0,3,1,2,0,0,188
4,2,21,11,12,7,3,6,2,13,3,2,2,1,5,0,2,0,1,10,10,13,0,7,13,5,0,5,10,2,0,1,2,16,0,4,1,0,13,0,0,0,0,205
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,6
7,23,47,29,33,15,3,9,5,19,18,22,14,1,14,19,4,0,0,14,18,13,3,15,10,7,0,19,12,15,11,20,3,23,2,2,12,2,20,16,2,1,2,517
8,0,3,8,2,2,1,0,0,9,0,4,2,0,4,1,0,1,1,3,2,10,0,9,4,6,0,6,0,0,0,2,0,2,6,0,4,1,1,2,0,3,0,99
9,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11
10,0,0,0,0,0,0,0,0,1,34,3,3,0,4,7,4,0,1,5,16,4,0,2,23,2,8,0,19,0,4,3,0,1,2,0,0,0,1,3,0,1,0,151
12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4
13,0,1,5,1,1,1,0,0,2,1,4,3,0,6,6,0,0,1,1,5,2,0,10,1,3,0,2,0,0,0,1,11,16,0,0,0,0,4,1,1,0,1,91
14,1,3,1,3,2,0,0,0,0,9,3,2,0,7,2,0,0,2,4,5,2,0,1,2,1,1,1,0,1,0,1,0,0,0,0,5,0,0,1,0,9,0,69
15,0,0,1,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,2,0,0,12,0,0,1,0,0,0,31
16,0,6,15,6,2,2,0,0,2,52,13,8,0,5,4,4,0,0,10,5,6,1,3,32,3,3,7,6,0,5,5,1,10,1,0,3,0,9,5,0,0,0,234
19,0,1,0,1,0,0,0,0,1,0,1,1,2,1,0,1,0,0,0,0,0,1,2,2,2,0,0,0,0,0,21,2,2,0,0,0,0,0,18,0,0,0,59
21,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,4,1,11,0,1,6,0,0,0,0,1,0,0,0,0,0,0,1,5,0,4,4,1,0,0,4,0,49
22,0,1,0,1,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,3,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
26,21,67,77,64,27,12,13,7,28,19,8,7,3,9,10,5,2,0,38,18,33,5,24,19,12,0,50,1,14,0,6,17,54,2,9,7,2,25,4,2,0,0,721
28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,9
29,0,3,11,2,1,0,0,1,5,1,7,5,1,8,14,8,3,1,5,9,14,0,32,1,4,0,8,1,0,0,6,1,4,0,0,1,0,2,5,0,1,1,166
30,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,8
34,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
35,4,16,5,14,4,9,1,0,0,3,98,15,0,4,9,16,0,0,0,6,1,0,22,1,10,0,3,0,4,5,8,0,15,0,0,0,1,13,8,0,0,0,295
36,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
37,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
39,0,0,7,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,2,2,2,1,1,1,0,0,1,0,0,0,0,0,4,0,1,0,0,0,28
70,1,1,1,1,0,0,1,0,12,2,11,4,0,5,3,2,0,0,1,1,3,0,3,5,1,0,1,0,1,0,0,0,15,0,0,0,0,17,0,0,0,0,92
73,1,6,2,5,2,2,0,0,1,18,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,1,2,4,1,0,2,0,0,1,0,0,1,0,3,0,0,0,68
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
101,5,12,6,8,4,2,0,3,14,4,1,1,0,6,2,5,0,1,23,0,4,0,3,7,3,0,2,1,2,3,4,6,9,2,2,6,1,2,4,3,2,2,165
102,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
107,2,3,2,3,2,0,0,1,16,0,10,4,0,3,8,1,0,0,1,18,2,0,6,12,4,0,2,0,2,0,1,38,50,0,3,0,0,7,1,0,0,0,202
109,1,9,5,9,2,0,1,1,11,15,1,1,2,2,6,0,0,1,3,7,5,0,14,8,8,0,3,1,1,2,11,1,5,6,0,0,0,5,8,0,3,0,158
111,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,13
112,0,4,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,17
113,4,2,1,2,4,2,1,1,4,0,0,0,1,1,0,0,1,4,4,0,0,0,1,1,1,1,1,0,4,2,2,0,7,0,0,0,2,2,1,2,0,0,59
114,0,0,4,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,2,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
127,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
128,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,14
130,2,2,1,1,1,1,1,1,5,17,0,0,1,0,0,1,2,0,5,0,1,0,3,10,0,4,1,2,2,2,4,0,1,0,0,2,0,0,3,0,0,1,77
133,0,0,0,0,0,0,0,0,2,7,0,0,0,1,0,0,0,0,0,0,1,0,5,5,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,25
134,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,4,0,5,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,20
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
137,0,5,1,5,3,2,0,0,7,2,4,4,0,5,0,2,0,1,7,4,1,1,0,6,0,0,1,0,0,0,1,2,2,0,0,0,0,0,1,2,0,1,70
145,0,1,4,1,0,0,0,0,1,1,0,0,0,1,0,2,0,0,10,1,4,0,1,2,1,0,4,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,50
146,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
148,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
150,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
151,0,4,2,3,1,0,0,3,20,0,1,1,0,1,1,0,0,0,5,0,1,0,5,19,5,0,2,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,79
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
155,4,13,2,12,5,2,0,2,13,1,9,9,0,3,0,2,0,0,32,2,5,0,0,6,0,0,2,3,4,12,2,0,2,0,4,0,19,2,2,21,0,0,195
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,10
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,2,0,0,0,13
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
162,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,2,0,3,0,0,0,0,3,0,1,0,0,0,0,18,0,1,0,0,0,0,1,12,3,0,0,50
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
164,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
165,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
166,0,2,0,2,2,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
171,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,1,4,0,4,1,0,0,0,0,1,0,0,0,4,0,1,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,2,0,0,26
178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
179,0,0,0,0,0,0,0,0,6,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,5,0,0,0,21
181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,3,0,0,0,2,18
182,24,37,17,26,16,8,13,4,18,8,20,10,9,15,16,16,13,4,83,97,12,6,117,13,6,6,4,3,24,6,54,6,29,5,20,1,9,23,38,21,11,2,870
183,7,32,7,18,15,6,3,0,5,8,7,4,0,9,1,1,0,0,17,0,8,3,19,8,11,0,3,0,3,0,1,8,28,5,0,4,2,18,1,3,1,25,291
184,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,6,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,2,0,17
185,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
193,2,6,0,6,7,8,0,0,2,1,0,0,3,2,0,1,6,0,22,0,1,0,0,1,0,68,0,0,0,4,4,0,8,5,0,3,7,8,2,4,0,0,181
195,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,7,0,1,0,0,1,0,0,0,0,0,1,1,0,0,10,1,3,1,0,3,0,0,0,35
196,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
197,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7
208,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
209,0,1,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,16
